fold,label_fraction,split,stratum,users,fraction,overall_users,overall_fraction,abs_frac_diff
0,0.05,overall,30-31,11,0.021611001964636542,11,0.021611001964636542,0.0
0,0.05,overall,32-33,18,0.03536345776031434,18,0.03536345776031434,0.0
0,0.05,overall,34-35,22,0.043222003929273084,22,0.043222003929273084,0.0
0,0.05,overall,36-37,20,0.03929273084479371,20,0.03929273084479371,0.0
0,0.05,overall,38-39,13,0.025540275049115914,13,0.025540275049115914,0.0
0,0.05,overall,40-41,14,0.0275049115913556,14,0.0275049115913556,0.0
0,0.05,overall,42-43,23,0.04518664047151277,23,0.04518664047151277,0.0
0,0.05,overall,44-45,12,0.023575638506876228,12,0.023575638506876228,0.0
0,0.05,overall,46-47,17,0.03339882121807466,17,0.03339882121807466,0.0
0,0.05,overall,48-49,14,0.0275049115913556,14,0.0275049115913556,0.0
0,0.05,overall,50,10,0.019646365422396856,10,0.019646365422396856,0.0
0,0.05,overall,51-55,33,0.06483300589390963,33,0.06483300589390963,0.0
0,0.05,overall,56-60,28,0.0550098231827112,28,0.0550098231827112,0.0
0,0.05,overall,61-65,2,0.003929273084479371,2,0.003929273084479371,0.0
0,0.05,overall,66-67,1,0.0019646365422396855,1,0.0019646365422396855,0.0
0,0.05,train_pool,10-11,16,0.03931203931203931,21,0.0412573673870334,0.0019453280749940904
0,0.05,train_pool,12-13,29,0.07125307125307126,37,0.07269155206286837,0.0014384808097971102
0,0.05,train_pool,14-15,45,0.11056511056511056,57,0.11198428290766209,0.0014191723425515251
0,0.05,train_pool,16-17,30,0.07371007371007371,37,0.07269155206286837,0.0010185216472053393
0,0.05,train_pool,18-19,16,0.03931203931203931,20,0.03929273084479371,1.930846724559898e-05
0,0.05,train_pool,20-21,20,0.04914004914004914,24,0.047151277013752456,0.001988772126296681
0,0.05,train_pool,22-23,18,0.044226044226044224,22,0.043222003929273084,0.00100404029677114
0,0.05,train_pool,24-25,12,0.029484029484029485,15,0.029469548133595286,1.4481350434199236e-05
0,0.05,train_pool,26-27,13,0.03194103194103194,17,0.03339882121807466,0.0014577892770427162
0,0.05,train_pool,28-29,16,0.03931203931203931,21,0.0412573673870334,0.0019453280749940904
0,0.05,train_pool,30-31,9,0.022113022113022112,11,0.021611001964636542,0.00050202014838557
0,0.05,train_pool,32-33,15,0.036855036855036855,18,0.03536345776031434,0.0014915790947225144
0,0.05,train_pool,34-35,18,0.044226044226044224,22,0.043222003929273084,0.00100404029677114
0,0.05,train_pool,36-37,16,0.03931203931203931,20,0.03929273084479371,1.930846724559898e-05
0,0.05,train_pool,38-39,11,0.02702702702702703,13,0.025540275049115914,0.0014867519779111146
0,0.05,train_pool,40-41,11,0.02702702702702703,14,0.0275049115913556,0.0004778845643285713
0,0.05,train_pool,42-43,19,0.04668304668304668,23,0.04518664047151277,0.0014964062115339072
0,0.05,train_pool,44-45,9,0.022113022113022112,12,0.023575638506876228,0.001462616393854116
0,0.05,train_pool,46-47,13,0.03194103194103194,17,0.03339882121807466,0.0014577892770427162
0,0.05,train_pool,48-49,11,0.02702702702702703,14,0.0275049115913556,0.0004778845643285713
0,0.05,train_pool,50,8,0.019656019656019656,10,0.019646365422396856,9.65423362279949e-06
0,0.05,train_pool,51-55,27,0.06633906633906633,33,0.06483300589390963,0.0015060604451567067
0,0.05,train_pool,56-60,23,0.056511056511056514,28,0.0550098231827112,0.0015012333283453139
0,0.05,train_pool,61-65,2,0.004914004914004914,2,0.003929273084479371,0.0009847318295255428
0,0.05,train_pool,66-67,0,0.0,1,0.0019646365422396855,0.0019646365422396855
0,0.05,train_fraction,10-11,0,0.0,21,0.0412573673870334,0.0412573673870334
0,0.05,train_fraction,12-13,1,0.05,37,0.07269155206286837,0.022691552062868367
0,0.05,train_fraction,14-15,2,0.1,57,0.11198428290766209,0.011984282907662083
0,0.05,train_fraction,16-17,3,0.15,37,0.07269155206286837,0.07730844793713162
0,0.05,train_fraction,18-19,1,0.05,20,0.03929273084479371,0.01070726915520629
0,0.05,train_fraction,20-21,2,0.1,24,0.047151277013752456,0.05284872298624755
0,0.05,train_fraction,22-23,0,0.0,22,0.043222003929273084,0.043222003929273084
0,0.05,train_fraction,24-25,0,0.0,15,0.029469548133595286,0.029469548133595286
